variable,dtype,non_null_count,null_count,unique_values,year_coverage,sample_values
paindstatus,float64,55087,17303,7,1972-2010,"[3.0, 3.0, 1.0, 3.0, 3.0]"
occstatus,float64,55087,17303,7,1972-2010,"[3.0, 3.0, 3.0, 3.0, 3.0]"
paindtag,float64,55087,17303,3,1972-2010,"[1.0, 1.0, 1.0]"
indstatus,float64,55087,17303,7,1972-2010,"[3.0, 3.0, 3.0, 3.0, 3.0]"
maoccstatus,float64,55087,17303,7,1972-2010,"[1.0, 1.0, 3.0, 3.0, 1.0]"
maindtag,float64,55087,17303,3,1972-2010,"[1.0, 1.0, 1.0]"
maocctag,float64,55087,17303,3,1972-2010,"[1.0, 1.0, 1.0]"
spindtag,float64,55087,17303,3,1972-2010,"[1.0, 1.0, 1.0]"
spindstatus,float64,55087,17303,7,1972-2010,"[1.0, 1.0, 3.0, 2.0, 2.0]"
maindstatus,float64,55087,17303,7,1972-2010,"[1.0, 3.0, 1.0, 3.0, 1.0]"
spoccstatus,float64,55087,17303,7,1972-2010,"[1.0, 1.0, 3.0, 1.0, 3.0]"
spocctag,float64,55087,17303,3,1972-2010,"[1.0, 1.0, 1.0]"
padeg,float64,54521,17869,5,1972-2022,"[0.0, 4.0, 3.0, 2.0, 1.0]"
hefinfo,float64,53711,18679,15,1980-2018,"[2.0, 1.0, 1.0, 1.0, 1.0]"
dwelling,float64,53695,18695,10,1982-2022,"[2.0, 8.0, 2.0, 3.0, 7.0]"
natpark,float64,52815,19575,3,1984-2022,"[2.0, 2.0, 2.0]"
natroad,float64,52598,19792,3,1984-2022,"[2.0, 1.0, 3.0]"
natsoc,float64,52184,20206,3,1984-2022,"[2.0, 1.0, 2.0]"
unrelat,float64,52068,20322,9,1972-2022,"[0.0, 0.0, 1.0, 0.0, 0.0]"
paisco08,float64,51914,20476,327,1972-2018,"[1219.0, 7411.0, 8312.0, 8111.0, 5222.0]"
paisco88,float64,51914,20476,279,1972-2018,"[1221.0, 1221.0, 7231.0, 1221.0, 1221.0]"
satjob,float64,51887,20503,4,1972-2022,"[2.0, 1.0, 2.0, 3.0]"
paeduc,float64,51529,20861,21,1972-2022,"[8.0, 12.0, 6.0, 10.0, 8.0]"
occindv,float64,50723,21667,2,1972-2010,"[1.0, 0.0]"
spoccindv,float64,50723,21667,2,1972-2010,"[1.0, 1.0]"
maoccindv,float64,50723,21667,2,1972-2010,"[1.0, 0.0]"
paoccindv,float64,50723,21667,2,1972-2010,"[1.0, 1.0]"
ballot,float64,50515,21875,4,1988-2022,"[2.0, 4.0, 4.0, 2.0]"
natmass,float64,50301,22089,3,1984-2022,"[2.0, 2.0, 1.0]"
union,float64,49560,22830,4,1973-2022,"[4.0, 2.0, 4.0, 4.0]"
conmedic,float64,48501,23889,3,1973-2022,"[2.0, 3.0, 1.0]"
coneduc,float64,48400,23990,3,1973-2022,"[1.0, 2.0, 2.0]"
gunlaw,float64,48307,24083,2,1972-2022,"[1.0, 1.0]"
contv,float64,48292,24098,3,1973-2022,"[2.0, 2.0, 1.0]"
issp,float64,48277,24113,2,1985-2022,"[1.0, 1.0]"
conpress,float64,48083,24307,3,1973-2022,"[3.0, 1.0, 2.0]"
gender2,float64,47916,24474,3,1975-2022,"[1.0, 2.0, 2.0]"
conarmy,float64,47802,24588,3,1973-2022,"[2.0, 2.0, 1.0]"
confed,float64,47727,24663,3,1973-2022,"[2.0, 3.0, 3.0]"
conlegis,float64,47698,24692,3,1973-2022,"[2.0, 3.0, 3.0]"
relate2,float64,47592,24798,8,1975-2022,"[2.0, 3.0, 2.0, 2.0, 2.0]"
conclerg,float64,47381,25009,3,1973-2022,"[2.0, 2.0, 2.0]"
conbus,float64,47258,25132,3,1973-2022,"[1.0, 2.0, 2.0]"
old2,float64,47206,25184,100,1975-2022,"[24.0, 47.0, 34.0, 56.0, 37.0]"
conjudge,float64,47166,25224,3,1973-2022,"[2.0, 2.0, 2.0]"
abhlth,float64,46933,25457,2,1972-2022,"[1.0, 1.0]"
abdefect,float64,46708,25682,2,1972-2022,"[1.0, 1.0]"
abnomore,float64,46618,25772,2,1972-2022,"[1.0, 1.0]"
absingle,float64,46578,25812,2,1972-2022,"[1.0, 1.0]"
abpoor,float64,46574,25816,2,1972-2022,"[2.0, 2.0]"
abrape,float64,46491,25899,2,1972-2022,"[1.0, 1.0]"
conlabor,float64,46403,25987,3,1973-2022,"[2.0, 3.0, 2.0]"
news,float64,45869,26521,5,1972-2022,"[1.0, 5.0, 2.0, 4.0, 2.0]"
owngun,float64,45863,26527,3,1973-2022,"[1.0, 1.0, 1.0]"
rifle,float64,45787,26603,3,1973-2022,"[2.0, 2.0, 1.0]"
shotgun,float64,45787,26603,3,1973-2022,"[2.0, 2.0, 2.0]"
pistol,float64,45786,26604,3,1973-2022,"[2.0, 2.0, 1.0]"
fear,float64,45781,26609,2,1973-2022,"[1.0, 2.0]"
consci,float64,45752,26638,3,1973-2022,"[1.0, 2.0, 1.0]"
unemp,float64,45717,26673,2,1973-2022,"[2.0, 2.0]"
confinan,float64,45239,27151,3,1975-2022,"[3.0, 3.0, 2.0]"
mar2,float64,45184,27206,5,1975-2022,"[1.0, 5.0, 3.0, 5.0, 5.0]"
eth1,float64,45170,27220,68,1984-2022,"[34.0, 24.0, 14.0, 11.0, 24.0]"
chldidel,float64,45002,27388,9,1972-2022,"[2.0, 2.0, 2.0, 4.0, 3.0]"
colath,float64,44800,27590,2,1972-2022,"[5.0, 5.0]"
life,float64,44243,28147,3,1973-2022,"[1.0, 2.0, 1.0]"
death,float64,44174,28216,2,1978-2010,"[1.0, 1.0]"
postlife,float64,44148,28242,2,1973-2022,"[1.0, 1.0]"
divorce,float64,44104,28286,2,1972-2022,"[2.0, 1.0]"
pornlaw,float64,44095,28295,3,1973-2022,"[2.0, 2.0, 1.0]"
xmarsex,float64,44077,28313,4,1973-2022,"[1.0, 1.0, 1.0, 1.0]"
tvhours,float64,43997,28393,25,1975-2022,"[3.0, 5.0, 4.0, 2.0, 5.0]"
premarsx,float64,43582,28808,4,1972-2022,"[3.0, 1.0, 4.0, 4.0]"
spkath,float64,43320,29070,2,1972-2022,"[2.0, 1.0]"
pray,float64,43269,29121,6,1983-2022,"[1.0, 1.0, 2.0, 5.0, 2.0]"
socrel,float64,43151,29239,7,1974-2022,"[3.0, 3.0, 3.0, 1.0, 1.0]"
socfrend,float64,43128,29262,7,1974-2022,"[2.0, 5.0, 4.0, 3.0, 5.0]"
socommun,float64,43128,29262,7,1974-2022,"[4.0, 7.0, 2.0, 6.0, 7.0]"
socbar,float64,43100,29290,7,1974-2022,"[4.0, 5.0, 7.0, 6.0, 6.0]"
version,float64,43002,29388,9,1994-2022,"[1.0, 4.0, 3.0, 5.0, 2.0]"
polmurdr,float64,42882,29508,2,1973-2022,"[2.0, 2.0]"
xmovie,float64,42760,29630,2,1973-2022,"[2.0, 2.0]"
libath,float64,42690,29700,2,1972-2022,"[2.0, 1.0]"
relhhd1,float64,42618,29772,1,1993-2022,[1.0]
homosex,float64,42601,29789,5,1973-2022,"[1.0, 1.0, 1.0, 1.0, 1.0]"
spkcom,float64,42600,29790,2,1972-2022,"[1.0, 1.0]"
trust,float64,42475,29915,3,1972-2022,"[2.0, 1.0, 1.0]"
conrinc,float64,42333,30057,653,1974-2022,"[42130.0, 10532.0, 67035.0, 56836.0, 117628.11993999999]"
