variable,dtype,non_null_count,null_count,unique_values,year_coverage,sample_values
godguide,float64,1318,71072,6,2004-2004,"[5.0, 2.0, 3.0, 3.0, 4.0]"
uswht,float64,1318,71072,56,2000-2000,"[60.0, 60.0, 80.0, 70.0, 75.0]"
parwork,float64,1318,71072,4,1990-1990,"[1.0, 2.0, 2.0, 3.0]"
relbstsc,float64,1318,71072,5,2006-2010,"[2.0, 5.0, 3.0, 3.0, 5.0]"
termpain,float64,1318,71072,5,1998-1998,"[3.0, 2.0, 2.0, 2.0, 1.0]"
relsprt1,float64,1318,71072,6,2004-2004,"[5.0, 6.0, 2.0, 4.0, 5.0]"
relsprt2,float64,1317,71073,6,2004-2004,"[4.0, 4.0, 1.0, 6.0, 5.0]"
pryntfam,float64,1317,71073,4,2002-2002,"[4.0, 3.0, 1.0, 2.0]"
mhviooth,float64,1317,71073,4,2006-2006,"[4.0, 3.0, 1.0, 4.0]"
godlvdir,float64,1317,71073,6,2004-2004,"[2.0, 4.0, 4.0, 1.0, 2.0]"
forlang,float64,1317,71073,5,1996-1996,"[4.0, 3.0, 1.0, 4.0, 3.0]"
godclose,float64,1317,71073,4,2004-2004,"[2.0, 4.0, 2.0, 2.0]"
immcrmup,float64,1317,71073,4,2000-2000,"[1.0, 2.0, 1.0, 1.0]"
febrass,float64,1316,71074,2,1982-1982,"[1.0, 2.0]"
letinhsp,float64,1315,71075,5,2000-2000,"[3.0, 5.0, 3.0, 3.0, 3.0]"
scmed,float64,1315,71075,5,2006-2010,"[1.0, 1.0, 1.0, 2.0, 2.0]"
notreat,float64,1315,71075,5,1998-1998,"[3.0, 2.0, 2.0, 4.0, 1.0]"
payfarm,float64,1315,71075,80,1987-1987,"[15000.0, 2000.0, 15000.0, 10000.0, 8000.0]"
scpol,float64,1315,71075,5,2006-2010,"[4.0, 4.0, 3.0, 1.0, 3.0]"
paysec,float64,1315,71075,70,1987-1987,"[12000.0, 10000.0, 15000.0, 10000.0, 20000.0]"
daycare5,float64,1315,71075,4,1988-1988,"[2.0, 1.0, 2.0, 2.0]"
ecobsttx,float64,1314,71076,5,2006-2010,"[2.0, 3.0, 1.0, 5.0, 4.0]"
frterror,float64,1314,71076,3,2000-2000,"[1.0, 1.0, 1.0]"
spyenemy,float64,1314,71076,6,1998-1998,"[5.0, 5.0, 2.0, 5.0, 6.0]"
chkother,float64,1314,71076,5,1998-1998,"[2.0, 5.0, 4.0, 2.0, 4.0]"
screlig,float64,1313,71077,5,2006-2010,"[3.0, 4.0, 5.0, 5.0, 4.0]"
chldmorl,float64,1313,71077,5,1990-1990,"[4.0, 3.0, 4.0, 4.0, 4.0]"
relcand,float64,1313,71077,4,2008-2008,"[2.0, 1.0, 2.0, 1.0]"
psycfdoc,float64,1313,71077,5,1998-1998,"[3.0, 2.0, 2.0, 2.0, 4.0]"
fairblks,float64,1313,71077,7,2000-2000,"[3.0, 3.0, 5.0, 2.0, 3.0]"
blkjobs,float64,1312,71078,4,1990-1990,"[1.0, 2.0, 1.0, 2.0]"
findjob,float64,1312,71078,5,1989-1998,"[5.0, 3.0, 2.0, 5.0, 2.0]"
chldprb,float64,1312,71078,11,2002-2002,"[4.0, 4.0, 3.0, 1.0, 2.0]"
joylifts,float64,1312,71078,6,2004-2004,"[4.0, 4.0, 1.0, 3.0, 1.0]"
closrgod,float64,1312,71078,6,2004-2004,"[3.0, 3.0, 3.0, 2.0, 2.0]"
ecoinftx,float64,1312,71078,4,2006-2010,"[3.0, 2.0, 3.0, 1.0]"
knwjew,float64,1311,71079,2,2000-2000,"[2.0, 1.0]"
txeco,float64,1311,71079,5,2006-2010,"[1.0, 3.0, 3.0, 3.0, 2.0]"
hospice,float64,1311,71079,5,1998-1998,"[2.0, 2.0, 2.0, 2.0, 2.0]"
divifkid,float64,1311,71079,5,1988-1988,"[4.0, 3.0, 4.0, 5.0, 4.0]"
infmusic,float64,1310,71080,5,1990-1990,"[1.0, 4.0, 3.0, 3.0, 2.0]"
teensex1,float64,1310,71080,4,1994-1994,"[1.0, 4.0, 1.0, 1.0]"
partime,float64,1310,71080,4,1990-1990,"[1.0, 4.0, 2.0, 2.0]"
usblk,float64,1310,71080,55,2000-2000,"[20.0, 35.0, 10.0, 10.0, 25.0]"
psycdrct,float64,1310,71080,5,1998-1998,"[4.0, 2.0, 2.0, 3.0, 5.0]"
livnowed,float64,1310,71080,4,1994-1994,"[4.0, 4.0, 1.0, 3.0]"
frndfnd3,float64,1309,71081,3,1988-1998,"[3.0, 2.0, 2.0]"
paymason,float64,1309,71081,86,1987-1987,"[30000.0, 25000.0, 20000.0, 25000.0, 35000.0]"
mayrborn,float64,1309,71081,89,1994-1994,"[1926.0, 1940.0, 1940.0, 1924.0, 1909.0]"
datefrst,float64,1309,71081,569,1994-1994,"[7605.0, 8109.0, 4906.0, 6906.0, 3807.0]"
amissue,float64,1309,71081,4,1994-1994,"[1.0, 2.0, 1.0, 3.0]"
hspasn10,float64,1308,71082,3,1994-1994,"[1.0, 1.0, 2.0]"
comblk,float64,1308,71082,40,2000-2000,"[50.0, 30.0, 10.0, 20.0, 40.0]"
hgunlaw,float64,1308,71082,2,2004-2004,"[2.0, 1.0]"
twoclass,float64,1308,71082,4,1990-1990,"[3.0, 3.0, 3.0, 3.0]"
godlvoth,float64,1308,71082,6,2004-2004,"[2.0, 1.0, 2.0, 4.0, 4.0]"
psycpsyc,float64,1308,71082,5,1998-1998,"[2.0, 4.0, 2.0, 2.0, 2.0]"
engoff1,float64,1307,71083,2,2000-2000,"[1.0, 1.0]"
children,float64,1307,71083,3,1996-1996,"[2.0, 1.0, 1.0]"
termrel,float64,1307,71083,5,1998-1998,"[5.0, 2.0, 1.0, 2.0, 3.0]"
finind1,float64,1306,71084,21,2002-2002,"[21.0, 25.0, 18.0, 30.0, 21.0]"
spyfrend,float64,1306,71084,6,1998-1998,"[4.0, 5.0, 4.0, 3.0, 4.0]"
divnokid,float64,1305,71085,5,1988-1988,"[2.0, 1.0, 2.0, 3.0, 4.0]"
rprtst15,float64,1304,71086,3,1996-1996,"[1.0, 1.0, 1.0]"
letineur,float64,1304,71086,5,2000-2000,"[3.0, 4.0, 5.0, 3.0, 4.0]"
movetown,float64,1304,71086,5,1996-1996,"[4.0, 2.0, 5.0, 2.0, 4.0]"
blkhouse,float64,1303,71087,4,1990-1990,"[2.0, 2.0, 2.0, 1.0]"
paybus,float64,1303,71087,73,1987-1987,"[15000.0, 14000.0, 25000.0, 10000.0, 30000.0]"
granlang,float64,1303,71087,2,2000-2000,"[2.0, 1.0]"
givhlth,float64,1302,71088,2,1996-1996,"[2.0, 1.0]"
farewhts,float64,1302,71088,7,1990-1990,"[3.0, 3.0, 1.0, 1.0, 4.0]"
putsoff,float64,1302,71088,4,2002-2002,"[2.0, 3.0, 4.0, 1.0]"
movestat,float64,1302,71088,5,1996-1996,"[2.0, 1.0, 1.0, 3.0, 5.0]"
psyckid3,float64,1301,71089,5,1998-1998,"[2.0, 4.0, 3.0, 5.0, 1.0]"
painmed,float64,1301,71089,5,1998-1998,"[4.0, 1.0, 1.0, 2.0, 1.0]"
courtsy,float64,1301,71089,3,1974-1982,"[2.0, 2.0, 2.0]"
psyckid2,float64,1301,71089,5,1998-1998,"[2.0, 4.0, 4.0, 2.0, 1.0]"
newage,float64,1300,71090,5,1993-1993,"[5.0, 1.0, 5.0, 2.0, 4.0]"
frndrac1,float64,1300,71090,5,1998-1998,"[4.0, 3.0, 4.0, 4.0, 4.0]"
socsecfx,float64,1300,71090,4,1998-1998,"[2.0, 2.0, 3.0, 3.0]"
reggae,float64,1300,71090,5,1993-1993,"[2.0, 1.0, 3.0, 3.0, 3.0]"
letinasn,float64,1299,71091,5,2000-2000,"[3.0, 3.0, 3.0, 5.0, 3.0]"
psyckid1,float64,1299,71091,5,1998-1998,"[4.0, 1.0, 2.0, 5.0, 3.0]"
leakinfo,float64,1298,71092,6,1998-1998,"[1.0, 6.0, 1.0, 4.0, 3.0]"
scresrch,float64,1298,71092,4,2006-2010,"[1.0, 1.0, 3.0, 2.0]"
twokids,float64,1298,71092,5,1988-1988,"[1.0, 3.0, 2.0, 2.0, 2.0]"
fareblks,float64,1297,71093,7,1990-1990,"[4.0, 3.0, 4.0, 6.0, 7.0]"
moveusa,float64,1296,71094,5,1996-1996,"[2.0, 5.0, 5.0, 5.0, 3.0]"
hguncrim,float64,1295,71095,3,2004-2004,"[2.0, 1.0, 3.0]"
deathpen,float64,1295,71095,5,1991-1991,"[1.0, 1.0, 1.0, 4.0, 4.0]"
usdoenuf,float64,1295,71095,3,2010-2010,"[1.0, 3.0, 1.0]"
giveduc,float64,1295,71095,2,1996-1996,"[2.0, 2.0]"
rprtst35,float64,1295,71095,3,1996-1996,"[1.0, 2.0, 2.0]"
volactyr,float64,1294,71096,2,2012-2012,"[1.0, 2.0]"
contblk,float64,1294,71096,4,2000-2000,"[3.0, 3.0, 4.0, 2.0]"
artgod,float64,1293,71097,4,1998-1998,"[2.0, 4.0, 2.0, 3.0]"
mostcom,float64,1293,71097,7,2000-2000,"[6.0, 2.0, 2.0, 1.0, 6.0]"
eddone1,float64,1293,71097,23,2002-2002,"[25.0, 22.0, 18.0, 23.0, 18.0]"
zombies,float64,1293,71097,4,2002-2002,"[2.0, 2.0, 2.0, 3.0]"
docsui,float64,1293,71097,5,1998-1998,"[2.0, 3.0, 4.0, 3.0, 4.0]"
fedirty,float64,1292,71098,2,1982-1982,"[1.0, 1.0]"
eff911j,float64,1291,71099,5,2008-2008,"[1.0, 5.0, 3.0, 1.0, 3.0]"
faith4,float64,1291,71099,3,1988-1988,"[3.0, 1.0, 3.0]"
ovrmedkd,float64,1291,71099,4,2002-2002,"[2.0, 2.0, 1.0, 1.0]"
relcall,float64,1290,71100,6,1986-1986,"[2.0, 5.0, 5.0, 2.0, 5.0]"
idols,float64,1290,71100,5,2004-2004,"[3.0, 1.0, 2.0, 4.0, 4.0]"
reltime,float64,1289,71101,8,1986-1986,"[5.0, 4.0, 3.0, 1.0, 2.0]"
roleclrg,float64,1289,71101,5,1990-1990,"[2.0, 1.0, 2.0, 1.0, 3.0]"
medunacc,float64,1289,71101,4,2002-2002,"[2.0, 2.0, 1.0, 2.0]"
givyouth,float64,1288,71102,2,1996-1996,"[2.0, 2.0]"
reincar,float64,1288,71102,4,2008-2008,"[2.0, 3.0, 4.0, 3.0]"
givhuman,float64,1288,71102,2,1996-1996,"[2.0, 2.0]"
givfound,float64,1286,71104,2,1996-1996,"[2.0, 2.0]"
rosaries,float64,1286,71104,5,2004-2004,"[3.0, 4.0, 3.0, 3.0, 4.0]"
influwht,float64,1285,71105,3,1990-1990,"[3.0, 2.0, 2.0]"
conteng,float64,1285,71105,4,2000-2000,"[1.0, 1.0, 1.0, 1.0]"
sciagrgw,float64,1285,71105,5,2006-2010,"[5.0, 1.0, 3.0, 5.0, 4.0]"
ftwork1,float64,1285,71105,20,2002-2002,"[25.0, 24.0, 21.0, 22.0, 18.0]"
givpub,float64,1284,71106,2,1996-1996,"[2.0, 2.0]"
trbllaw,float64,1284,71106,4,2002-2002,"[3.0, 4.0, 2.0, 2.0]"
giveoth,float64,1284,71106,59,1998-1998,"[500.0, 100.0, 0.0, 10.0, 200.0]"
giverel,float64,1283,71107,44,1998-1998,"[0.0, 0.0, 0.0, 0.0, 0.0]"
medsavtx,float64,1282,71108,4,2002-2002,"[2.0, 3.0, 4.0, 3.0]"
crack30,float64,1281,71109,4,2000-2022,"[3.0, 4.0, 4.0, 4.0]"
medagrsc,float64,1281,71109,5,2006-2010,"[2.0, 1.0, 2.0, 2.0, 3.0]"
threkids,float64,1281,71109,5,1988-1988,"[3.0, 2.0, 2.0, 1.0, 4.0]"
payowner,float64,1280,71110,81,1987-1987,"[30000.0, 20000.0, 5000.0, 70000.0, 18000.0]"
daycare3,float64,1280,71110,4,1988-1988,"[1.0, 2.0, 1.0, 2.0]"
workundc,float64,1280,71110,7,1994-1994,"[4.0, 5.0, 1.0, 3.0, 6.0]"
notthink,float64,1280,71110,5,2004-2004,"[4.0, 3.0, 5.0, 3.0, 4.0]"
eff911a,float64,1280,71110,5,2008-2008,"[5.0, 5.0, 5.0, 4.0, 5.0]"
rprtst1,float64,1279,71111,4,1996-1996,"[4.0, 4.0, 4.0, 1.0]"
eff911c,float64,1278,71112,5,2008-2008,"[1.0, 3.0, 1.0, 2.0, 2.0]"
eff911b,float64,1278,71112,5,2008-2008,"[4.0, 3.0, 2.0, 3.0, 1.0]"
natlart,float64,1278,71112,2,1998-1998,"[1.0, 1.0]"
eff911l,float64,1278,71112,5,2008-2008,"[1.0, 1.0, 1.0, 1.0, 1.0]"
daycare4,float64,1278,71112,4,1988-1988,"[2.0, 2.0, 3.0, 3.0]"
religpub,float64,1278,71112,5,1991-1991,"[5.0, 1.0, 4.0, 3.0, 2.0]"
ushisp,float64,1277,71113,51,2000-2000,"[50.0, 10.0, 10.0, 15.0, 10.0]"
movenoam,float64,1277,71113,5,1996-1996,"[3.0, 4.0, 5.0, 5.0, 2.0]"
poleff14,float64,1277,71113,5,1996-1996,"[3.0, 1.0, 3.0, 3.0, 2.0]"
polsgod,float64,1277,71113,5,1991-1991,"[2.0, 1.0, 3.0, 2.0, 2.0]"
usmixed,float64,1276,71114,56,2000-2000,"[20.0, 50.0, 15.0, 50.0, 20.0]"
eldersup,float64,1276,71114,5,2012-2012,"[2.0, 2.0, 1.0, 2.0, 3.0]"
congovt,float64,1276,71114,5,1991-1991,"[3.0, 5.0, 3.0, 5.0, 4.0]"
patrwhts,float64,1276,71114,7,1990-1990,"[4.0, 4.0, 2.0, 1.0, 3.0]"
givenvir,float64,1274,71116,2,1996-1996,"[2.0, 2.0]"
medkdneg,float64,1274,71116,4,2002-2002,"[3.0, 1.0, 2.0, 1.0]"
asnchng,float64,1274,71116,5,2000-2000,"[4.0, 1.0, 1.0, 2.0, 2.0]"
lftplane,float64,1274,71116,4,2008-2008,"[3.0, 1.0, 1.0, 3.0]"
nuclrwar,float64,1274,71116,3,2000-2000,"[2.0, 2.0, 1.0]"
localart,float64,1273,71117,2,1998-1998,"[2.0, 2.0]"
givart,float64,1273,71117,2,1996-1996,"[2.0, 2.0]"
alloflfe,float64,1272,71118,6,2004-2004,"[4.0, 2.0, 4.0, 1.0, 5.0]"
stateart,float64,1271,71119,2,1998-1998,"[2.0, 1.0]"
comhisp,float64,1271,71119,39,2000-2000,"[2.0, 40.0, 40.0, 6.0, 0.0]"
ethhist,float64,1270,71120,3,1994-1994,"[3.0, 3.0, 2.0]"
daycare2,float64,1270,71120,4,1988-1988,"[3.0, 3.0, 2.0, 1.0]"
medaddct,float64,1270,71120,4,2002-2002,"[1.0, 3.0, 2.0, 2.0]"
eff911d,float64,1270,71120,5,2008-2008,"[5.0, 3.0, 3.0, 1.0, 4.0]"
givwork,float64,1270,71120,2,1996-1996,"[2.0, 2.0]"
intstart,float64,1269,71121,42,2016-2016,"[1999.0, 1993.0, 2010.0, 2015.0, 1993.0]"
payrborn,float64,1269,71121,95,1994-1994,"[1941.0, 1895.0, 1872.0, 1926.0, 1918.0]"
hspjobs,float64,1268,71122,4,1990-1990,"[2.0, 2.0, 2.0, 2.0]"
roleccp,float64,1267,71123,5,1990-1990,"[3.0, 1.0, 3.0, 3.0, 3.0]"
givpol,float64,1267,71123,2,1996-1996,"[1.0, 2.0]"
givrec,float64,1267,71123,2,1996-1996,"[2.0, 2.0]"
givsec,float64,1267,71123,70,1987-1987,"[15000.0, 20000.0, 20000.0, 20000.0, 20000.0]"
eff911k,float64,1266,71124,5,2008-2008,"[1.0, 3.0, 4.0, 4.0, 1.0]"
kidfinbu,float64,1266,71124,5,2012-2012,"[4.0, 4.0, 2.0, 2.0, 4.0]"
usterror,float64,1265,71125,3,2000-2000,"[1.0, 2.0, 1.0]"
mostimp2,float64,1265,71125,56,1993-1993,"[6.0, 990.0, 71.0, 42.0, 51.0]"
rprtst3,float64,1264,71126,4,1996-1996,"[3.0, 1.0, 2.0, 1.0]"
eff911e,float64,1263,71127,5,2008-2008,"[1.0, 1.0, 3.0, 5.0, 3.0]"
eff911h,float64,1262,71128,5,2008-2008,"[1.0, 3.0, 1.0, 3.0, 1.0]"
abdefct1,float64,1262,71128,4,1991-1991,"[1.0, 1.0, 1.0, 2.0]"
psycmed2,float64,1262,71128,5,1998-1998,"[4.0, 2.0, 4.0, 4.0, 4.0]"
givfarm,float64,1261,71129,72,1987-1987,"[30000.0, 20000.0, 8000.0, 26000.0, 15000.0]"
jewschng,float64,1261,71129,5,2000-2000,"[3.0, 3.0, 3.0, 3.0, 4.0]"
eff911m,float64,1260,71130,5,2008-2008,"[1.0, 1.0, 5.0, 1.0, 1.0]"
givbus,float64,1260,71130,75,1987-1987,"[29000.0, 30000.0, 15000.0, 25000.0, 35000.0]"
fourkids,float64,1259,71131,5,1988-1988,"[3.0, 5.0, 3.0, 4.0, 4.0]"
farejews,float64,1259,71131,7,1990-1990,"[4.0, 1.0, 1.0, 1.0, 1.0]"
famhsps,float64,1259,71131,7,2000-2000,"[3.0, 4.0, 4.0, 4.0, 7.0]"
contitl,float64,1259,71131,4,2000-2000,"[2.0, 3.0, 3.0, 4.0]"
givecong,float64,1259,71131,86,1998-1998,"[3500.0, 0.0, 100.0, 2400.0, 0.0]"
onekid,float64,1258,71132,5,1988-1988,"[3.0, 3.0, 2.0, 2.0, 2.0]"
daycare1,float64,1258,71132,4,1988-1988,"[2.0, 2.0, 1.0, 2.0]"
kidjob,float64,1258,71132,5,2012-2012,"[4.0, 3.0, 5.0, 1.0, 5.0]"
artists,float64,1258,71132,4,1998-1998,"[2.0, 2.0, 2.0, 3.0]"
godright,float64,1258,71132,5,1991-1991,"[2.0, 2.0, 5.0, 2.0, 3.0]"
givmason,float64,1257,71133,78,1987-1987,"[40000.0, 40000.0, 30000.0, 30000.0, 20000.0]"
eff911i,float64,1256,71134,5,2008-2008,"[3.0, 1.0, 4.0, 1.0, 5.0]"
comasn,float64,1256,71134,29,2000-2000,"[10.0, 1.0, 0.0, 0.0, 20.0]"
usasn,float64,1256,71134,41,2000-2000,"[10.0, 18.0, 5.0, 20.0, 10.0]"
eff911f,float64,1256,71134,5,2008-2008,"[3.0, 1.0, 3.0, 3.0, 1.0]"
eff911g,float64,1256,71134,5,2008-2008,"[1.0, 1.0, 1.0, 1.0, 2.0]"
abfelegl,float64,1255,71135,3,2018-2018,"[1.0, 2.0, 2.0]"
undk,float64,1254,71136,2,1989-1989,"[2.0, 2.0]"
givintl,float64,1254,71136,2,1996-1996,"[2.0, 2.0]"
polnews,float64,1253,71137,7,2014-2014,"[3.0, 2.0, 2.0, 2.0, 6.0]"
leastcom,float64,1253,71137,7,2000-2000,"[5.0, 2.0, 7.0, 5.0, 4.0]"
freeexp1,float64,1253,71137,9,2000-2000,"[1.0, 6.0, 1.0, 4.0, 1.0]"
guns911,float64,1252,71138,2,2006-2006,"[1.0, 1.0]"
poleff12,float64,1252,71138,5,1996-1996,"[1.0, 4.0, 3.0, 3.0, 1.0]"
hsphouse,float64,1252,71138,4,1990-1990,"[4.0, 1.0, 1.0, 2.0]"
rwrkgrwn,float64,1252,71138,3,1988-2002,"[1.0, 1.0, 1.0]"
immeduc,float64,1250,71140,5,2014-2014,"[1.0, 2.0, 2.0, 4.0, 2.0]"
fairv,float64,1250,71140,3,2021-2022,"[3.0, 1.0, 3.0]"
givinfrm,float64,1249,71141,2,1996-1996,"[2.0, 2.0]"
influblk,float64,1248,71142,3,1990-1990,"[3.0, 3.0, 3.0]"
voloth,float64,1248,71142,2,1996-1996,"[2.0, 2.0]"
usamind,float64,1248,71142,36,2000-2000,"[20.0, 2.0, 5.0, 50.0, 20.0]"
forspy,float64,1247,71143,3,2000-2000,"[2.0, 1.0, 2.0]"
contirsh,float64,1246,71144,4,2000-2000,"[3.0, 1.0, 3.0, 3.0]"
contchn,float64,1246,71144,4,2000-2000,"[1.0, 2.0, 3.0, 2.0]"
demworks,float64,1246,71144,4,1996-1996,"[2.0, 2.0, 2.0, 2.0]"
contmex,float64,1243,71147,4,2000-2000,"[2.0, 1.0, 4.0, 3.0]"
occtrain,float64,1243,71147,2,1998-1998,"[2.0, 1.0]"
patrblks,float64,1242,71148,7,1990-1990,"[6.0, 2.0, 5.0, 4.0, 4.0]"
polinter,float64,1241,71149,4,2014-2014,"[4.0, 4.0, 4.0, 4.0]"
fairnv,float64,1241,71149,3,2021-2022,"[1.0, 2.0, 1.0]"
contjew,float64,1240,71150,4,2000-2000,"[1.0, 1.0, 1.0, 2.0]"
wkcontct,float64,1237,71153,7,2014-2014,"[1.0, 5.0, 1.0, 1.0, 1.0]"
workso,float64,1236,71154,7,1990-1990,"[6.0, 1.0, 4.0, 3.0, 3.0]"
fairhsps,float64,1236,71154,7,2000-2000,"[5.0, 2.0, 4.0, 2.0, 5.0]"
pafund,float64,1236,71154,3,1988-1988,"[1.0, 3.0, 3.0]"
wlthso,float64,1236,71154,7,1990-1990,"[4.0, 4.0, 4.0, 3.0, 5.0]"
citworld,float64,1235,71155,5,2014-2014,"[4.0, 4.0, 4.0, 3.0, 2.0]"
nextstatus,float64,1235,71155,1,2022-2022,[1.0]
wtssps_next,float64,1235,71155,878,2022-2022,"[4.6907443703867155, 0.20700044316995525, 1.4566921918612832, 0.38229067478883755, 0.26971726683686054]"
brv5,float64,1235,71155,2,2022-2022,"[1.0, 0.0]"
partaxes,float64,1235,71155,4,1990-1990,"[3.0, 3.0, 2.0, 2.0]"
wtssnrps_next,float64,1235,71155,1164,2022-2022,"[0.4984838878099982, 0.42097364755732064, 0.4146912318099098, 0.1028787461041235, 2.671845496494347]"
neieth11,float64,1235,71155,7,2000-2000,"[1.0, 4.0, 3.0, 1.0, 2.0]"
comamind,float64,1235,71155,28,2000-2000,"[1.0, 0.0, 0.0, 0.0, 1.0]"
neieth3,float64,1235,71155,7,2000-2000,"[4.0, 3.0, 2.0, 2.0, 4.0]"
neieth7,float64,1235,71155,7,2000-2000,"[4.0, 4.0, 4.0, 4.0, 1.0]"
neieth8,float64,1235,71155,7,2000-2000,"[4.0, 2.0, 3.0, 4.0, 4.0]"
wrkwayup_next,float64,1234,71156,5,2022-2022,"[2.0, 2.0, 3.0, 2.0, 2.0]"
vaxhstncy,float64,1234,71156,5,2022-2022,"[5.0, 3.0, 5.0, 4.0, 3.0]"
predeter,float64,1234,71156,5,1991-1991,"[1.0, 1.0, 3.0, 5.0, 3.0]"
allben,float64,1234,71156,2,1996-1996,"[1.0, 1.0]"
patriot3,float64,1233,71157,5,2014-2014,"[1.0, 3.0, 4.0, 2.0, 1.0]"
blktry,float64,1233,71157,5,2022-2022,"[5.0, 5.0, 1.0, 3.0, 5.0]"
brv16,float64,1233,71157,2,2022-2022,"[1.0, 1.0]"
vaxkids,float64,1233,71157,5,2022-2022,"[1.0, 3.0, 2.0, 2.0, 2.0]"
knwhisp,float64,1233,71157,2,2000-2000,"[1.0, 1.0]"
vaxsafe,float64,1232,71158,5,2022-2022,"[2.0, 1.0, 3.0, 2.0, 3.0]"
neieth12,float64,1232,71158,7,2000-2000,"[3.0, 2.0, 4.0, 2.0, 3.0]"
blkdsrv,float64,1232,71158,5,2022-2022,"[4.0, 3.0, 4.0, 2.0, 2.0]"
neieth13,float64,1231,71159,7,2000-2000,"[1.0, 1.0, 3.0, 4.0, 4.0]"
abbelief,float64,1231,71159,6,2022-2022,"[3.0, 1.0, 4.0, 1.0, 4.0]"
neieth2,float64,1230,71160,7,2000-2000,"[4.0, 2.0, 1.0, 2.0, 4.0]"
neieth4,float64,1230,71160,7,2000-2000,"[3.0, 4.0, 3.0, 3.0, 3.0]"
intlso,float64,1230,71160,7,1990-1990,"[7.0, 4.0, 4.0, 4.0, 6.0]"
relig_next,float64,1230,71160,11,2022-2022,"[1.0, 4.0, 5.0, 1.0, 4.0]"
farehsps,float64,1230,71160,7,1990-1990,"[4.0, 4.0, 3.0, 4.0, 4.0]"
abgender,float64,1229,71161,2,2022-2022,"[2.0, 2.0]"
fluvax,float64,1229,71161,2,2022-2022,"[1.0, 1.0]"
biokids,float64,1229,71161,11,2022-2022,"[2.0, 2.0, 2.0, 2.0, 0.0]"
shortcom,float64,1228,71162,5,2014-2014,"[3.0, 3.0, 2.0, 2.0, 1.0]"
forsteal,float64,1228,71162,3,2000-2000,"[1.0, 1.0, 2.0]"
contjpn,float64,1228,71162,4,2000-2000,"[2.0, 3.0, 2.0, 2.0]"
perright,float64,1227,71163,5,1991-1991,"[2.0, 2.0, 3.0, 1.0, 4.0]"
volwkchr,float64,1227,71163,4,1998-1998,"[1.0, 1.0, 3.0, 2.0]"
gestate,float64,1226,71164,2,2022-2022,"[2.0, 2.0]"
volwkrel,float64,1226,71164,4,1998-1998,"[1.0, 2.0, 3.0, 1.0]"
covid12,float64,1226,71164,2,2022-2022,"[1.0, 2.0]"
socdif1,float64,1226,71164,4,1990-1990,"[3.0, 3.0, 2.0, 2.0]"
voednme1,float64,1225,71165,22,2012-2016,"[4.0, 20.0, 10.0, 4.0, 10.0]"
usspy,float64,1225,71165,3,2000-2000,"[2.0, 3.0, 1.0]"
intwkenm,float64,1225,71165,14,2016-2016,"[0.0, 0.0, 0.0, 0.0, 30.0]"
volwkpol,float64,1225,71165,4,1998-1998,"[2.0, 1.0, 1.0, 1.0]"
onenatn,float64,1224,71166,2,1996-1996,"[1.0, 1.0]"
intwkdym,float64,1224,71166,14,2016-2016,"[25.0, 0.0, 0.0, 0.0, 0.0]"
volwkoth,float64,1224,71166,4,1998-1998,"[3.0, 2.0, 2.0, 2.0]"
enprbfam,float64,1224,71166,10,2010-2010,"[8.0, 2.0, 8.0, 2.0, 8.0]"
blkmblty,float64,1223,71167,5,2022-2022,"[3.0, 1.0, 1.0, 2.0, 1.0]"
socright,float64,1223,71167,5,1991-1991,"[3.0, 4.0, 1.0, 5.0, 2.0]"
nokids,float64,1221,71169,5,1988-1988,"[4.0, 4.0, 3.0, 3.0, 3.0]"
intwkdyh,float64,1220,71170,19,2016-2016,"[1.0, 2.0, 10.0, 4.0, 6.0]"
hlthall,float64,1220,71170,7,2014-2014,"[5.0, 7.0, 7.0, 5.0, 4.0]"
patrjews,float64,1219,71171,7,1990-1990,"[4.0, 4.0, 2.0, 6.0, 4.0]"
fareso,float64,1219,71171,7,1990-1990,"[3.0, 6.0, 4.0, 4.0, 4.0]"
abpoor1,float64,1219,71171,4,1991-1991,"[4.0, 1.0, 3.0, 3.0]"
major2,float64,1219,71171,76,2012-2022,"[18.0, 33.0, 1.0, 47.0, 33.0]"
asnjobs,float64,1219,71171,4,1990-1990,"[2.0, 4.0, 3.0, 2.0]"
pandmet,float64,1219,71171,5,2022-2022,"[3.0, 5.0, 2.0, 3.0, 2.0]"
asnhouse,float64,1219,71171,4,1990-1990,"[2.0, 1.0, 1.0, 4.0]"
patrso,float64,1217,71173,7,1990-1990,"[5.0, 3.0, 2.0, 1.0, 2.0]"
ecoagree,float64,1217,71173,5,2006-2010,"[4.0, 5.0, 5.0, 4.0, 2.0]"
h2olife,float64,1217,71173,4,2008-2008,"[4.0, 4.0, 3.0, 4.0]"
bettrlfe,float64,1217,71173,4,2014-2014,"[2.0, 3.0, 3.0, 1.0]"
violso,float64,1216,71174,7,1990-1990,"[2.0, 3.0, 4.0, 4.0, 5.0]"
socsecrt,float64,1216,71174,5,1998-1998,"[5.0, 3.0, 4.0, 4.0, 4.0]"
mhcreatv,float64,1216,71174,4,2006-2006,"[2.0, 4.0, 3.0, 3.0]"
neieth5,float64,1216,71174,7,2000-2000,"[4.0, 1.0, 1.0, 1.0, 4.0]"
intwkenh,float64,1216,71174,18,2016-2016,"[1.0, 4.0, 2.0, 0.0, 6.0]"
